p
"(:Orden {monto: 4800000.0,cantidad: 2,fechaOrden: 2024-11-01,idOrden: 11})-[:ESTA_COMPUESTA_DE]->(:Producto {precio: 75.0,idProducto: 11,nombre: Altavoz Bluetooth})"
"(:Orden {monto: 6000000.0,cantidad: 1,fechaOrden: 2024-11-05,idOrden: 12})-[:ESTA_COMPUESTA_DE]->(:Producto {precio: 100.0,idProducto: 12,nombre: Disco Duro Externo})"
"(:Orden {monto: 3200000.0,cantidad: 3,fechaOrden: 2024-11-10,idOrden: 13})-[:ESTA_COMPUESTA_DE]->(:Producto {precio: 80.0,idProducto: 13,nombre: Router WiFi})"
"(:Orden {monto: 800000.0,cantidad: 2,fechaOrden: 2024-11-12,idOrden: 14})-[:ESTA_COMPUESTA_DE]->(:Producto {precio: 15.0,idProducto: 14,nombre: USB 64GB})"
"(:Orden {monto: 2000000.0,cantidad: 1,fechaOrden: 2024-11-15,idOrden: 15})-[:ESTA_COMPUESTA_DE]->(:Producto {precio: 120.0,idProducto: 15,nombre: Silla de Oficina})"
"(:Orden {monto: 1000000.0,cantidad: 3,fechaOrden: 2024-11-18,idOrden: 16})-[:ESTA_COMPUESTA_DE]->(:Producto {precio: 200.0,idProducto: 16,nombre: Escritorio})"
"(:Orden {monto: 400000.0,cantidad: 1,fechaOrden: 2024-11-20,idOrden: 17})-[:ESTA_COMPUESTA_DE]->(:Producto {precio: 100.0,idProducto: 17,nombre: Microondas})"
"(:Orden {monto: 4000000.0,cantidad: 2,fechaOrden: 2024-11-22,idOrden: 18})-[:ESTA_COMPUESTA_DE]->(:Producto {precio: 600.0,idProducto: 18,nombre: Refrigerador})"
"(:Orden {monto: 2400000.0,cantidad: 3,fechaOrden: 2024-11-25,idOrden: 19})-[:ESTA_COMPUESTA_DE]->(:Producto {precio: 80.0,idProducto: 19,nombre: Cafetera})"
"(:Orden {monto: 300000.0,cantidad: 2,fechaOrden: 2024-11-30,idOrden: 20})-[:ESTA_COMPUESTA_DE]->(:Producto {precio: 1000.0,idProducto: 20,nombre: Televisión})"
"(:Orden {monto: 4800000.0,cantidad: 2,fechaOrden: 2024-01-15,idOrden: 1})-[:ESTA_COMPUESTA_DE]->(:Producto {precio: 1200.0,idProducto: 1,nombre: Laptop})"
"(:Orden {monto: 6000000.0,cantidad: 1,fechaOrden: 2024-02-20,idOrden: 2})-[:ESTA_COMPUESTA_DE]->(:Producto {precio: 800.0,idProducto: 2,nombre: Teléfono})"
"(:Orden {monto: 3200000.0,cantidad: 3,fechaOrden: 2024-03-10,idOrden: 3})-[:ESTA_COMPUESTA_DE]->(:Producto {precio: 400.0,idProducto: 3,nombre: Tablet})"
"(:Orden {monto: 800000.0,cantidad: 1,fechaOrden: 2024-04-05,idOrden: 4})-[:ESTA_COMPUESTA_DE]->(:Producto {precio: 250.0,idProducto: 4,nombre: Monitor})"
"(:Orden {monto: 2000000.0,cantidad: 2,fechaOrden: 2024-05-18,idOrden: 5})-[:ESTA_COMPUESTA_DE]->(:Producto {precio: 50.0,idProducto: 5,nombre: Teclado})"
"(:Orden {monto: 1000000.0,cantidad: 3,fechaOrden: 2024-06-22,idOrden: 6})-[:ESTA_COMPUESTA_DE]->(:Producto {precio: 25.0,idProducto: 6,nombre: Ratón})"
"(:Orden {monto: 400000.0,cantidad: 1,fechaOrden: 2024-07-19,idOrden: 7})-[:ESTA_COMPUESTA_DE]->(:Producto {precio: 60.0,idProducto: 7,nombre: Auriculares})"
"(:Orden {monto: 4000000.0,cantidad: 2,fechaOrden: 2024-08-15,idOrden: 8})-[:ESTA_COMPUESTA_DE]->(:Producto {precio: 150.0,idProducto: 8,nombre: Impresora})"
"(:Orden {monto: 2400000.0,cantidad: 1,fechaOrden: 2024-09-25,idOrden: 9})-[:ESTA_COMPUESTA_DE]->(:Producto {precio: 500.0,idProducto: 9,nombre: Cámara})"
"(:Orden {monto: 300000.0,cantidad: 3,fechaOrden: 2024-10-30,idOrden: 10})-[:ESTA_COMPUESTA_DE]->(:Producto {precio: 200.0,idProducto: 10,nombre: Smartwatch})"
