p
"(:Producto {precio: 1200.0,idProducto: 1,nombre: Laptop})-[:PERTENECE_A]->(:Categoría {idCategoria: 1,nombre: Tecnología})"
"(:Producto {precio: 800.0,idProducto: 2,nombre: Teléfono})-[:PERTENECE_A]->(:Categoría {idCategoria: 1,nombre: Tecnología})"
"(:Producto {precio: 400.0,idProducto: 3,nombre: Tablet})-[:PERTENECE_A]->(:Categoría {idCategoria: 1,nombre: Tecnología})"
"(:Producto {precio: 250.0,idProducto: 4,nombre: Monitor})-[:PERTENECE_A]->(:Categoría {idCategoria: 1,nombre: Tecnología})"
"(:Producto {precio: 50.0,idProducto: 5,nombre: Teclado})-[:PERTENECE_A]->(:Categoría {idCategoria: 2,nombre: Accesorios})"
"(:Producto {precio: 25.0,idProducto: 6,nombre: Ratón})-[:PERTENECE_A]->(:Categoría {idCategoria: 2,nombre: Accesorios})"
"(:Producto {precio: 60.0,idProducto: 7,nombre: Auriculares})-[:PERTENECE_A]->(:Categoría {idCategoria: 2,nombre: Accesorios})"
"(:Producto {precio: 150.0,idProducto: 8,nombre: Impresora})-[:PERTENECE_A]->(:Categoría {idCategoria: 15,nombre: Electrónica})"
"(:Producto {precio: 500.0,idProducto: 9,nombre: Cámara})-[:PERTENECE_A]->(:Categoría {idCategoria: 15,nombre: Electrónica})"
"(:Producto {precio: 200.0,idProducto: 10,nombre: Smartwatch})-[:PERTENECE_A]->(:Categoría {idCategoria: 15,nombre: Electrónica})"
"(:Producto {precio: 75.0,idProducto: 11,nombre: Altavoz Bluetooth})-[:PERTENECE_A]->(:Categoría {idCategoria: 2,nombre: Accesorios})"
"(:Producto {precio: 100.0,idProducto: 12,nombre: Disco Duro Externo})-[:PERTENECE_A]->(:Categoría {idCategoria: 1,nombre: Tecnología})"
"(:Producto {precio: 80.0,idProducto: 13,nombre: Router WiFi})-[:PERTENECE_A]->(:Categoría {idCategoria: 1,nombre: Tecnología})"
"(:Producto {precio: 15.0,idProducto: 14,nombre: USB 64GB})-[:PERTENECE_A]->(:Categoría {idCategoria: 2,nombre: Accesorios})"
"(:Producto {precio: 120.0,idProducto: 15,nombre: Silla de Oficina})-[:PERTENECE_A]->(:Categoría {idCategoria: 16,nombre: Oficina})"
"(:Producto {precio: 200.0,idProducto: 16,nombre: Escritorio})-[:PERTENECE_A]->(:Categoría {idCategoria: 16,nombre: Oficina})"
"(:Producto {precio: 100.0,idProducto: 17,nombre: Microondas})-[:PERTENECE_A]->(:Categoría {idCategoria: 4,nombre: Electrodomésticos})"
"(:Producto {precio: 600.0,idProducto: 18,nombre: Refrigerador})-[:PERTENECE_A]->(:Categoría {idCategoria: 4,nombre: Electrodomésticos})"
"(:Producto {precio: 600.0,idProducto: 18,nombre: Refrigerador})-[:PERTENECE_A]->(:Categoría {idCategoria: 5,nombre: Hogar})"
"(:Producto {precio: 80.0,idProducto: 19,nombre: Cafetera})-[:PERTENECE_A]->(:Categoría {idCategoria: 4,nombre: Electrodomésticos})"
"(:Producto {precio: 1000.0,idProducto: 20,nombre: Televisión})-[:PERTENECE_A]->(:Categoría {idCategoria: 4,nombre: Electrodomésticos})"
"(:Producto {precio: 350,idProducto: 23,nombre: Lampara})-[:PERTENECE_A]->(:Categoría {idCategoria: 5,nombre: Hogar})"
