n
"(:Afición {tipo: deporte,nombre: Surf})"
"(:Afición {tipo: deporte,nombre: Escalada})"
"(:Afición {tipo: deporte,nombre: Senderismo})"
"(:Afición {tipo: arte,nombre: Fotografía})"
"(:Afición {tipo: arte,nombre: Tatuaje})"
"(:Afición {tipo: arte,nombre: Diseño gráfico})"
"(:Afición {tipo: música,nombre: Tocar la guitarra})"
"(:Afición {tipo: música,nombre: Composición musical})"
"(:Afición {tipo: música,nombre: DJing})"
"(:Afición {tipo: música,nombre: Canto coral})"
"(:Afición {tipo: tecnología,nombre: Desarrollo de videojuegos})"
"(:Afición {tipo: tecnología,nombre: Ciberseguridad})"
"(:Afición {tipo: tecnología,nombre: Edición de video})"
"(:Afición {tipo: tecnología,nombre: Domótica})"
"(:Afición {tipo: deporte,nombre: Esquí})"
"(:Afición {tipo: deporte,nombre: Parapente})"
"(:Afición {tipo: arte,nombre: Graffiti})"
"(:Afición {tipo: arte,nombre: Bailar})"
"(:Afición {tipo: música,nombre: Tocar el saxofón})"
"(:Afición {tipo: tecnología,nombre: Impresión 3D})"
