p
"(:Producto {precio: 1200.0,idProducto: 1,nombre: Laptop})-[:ESTA_RELACIONADO]->(:Producto {precio: 800.0,idProducto: 2,nombre: Teléfono})"
"(:Producto {precio: 1200.0,idProducto: 1,nombre: Laptop})-[:ESTA_RELACIONADO]->(:Producto {precio: 400.0,idProducto: 3,nombre: Tablet})"
"(:Producto {precio: 1200.0,idProducto: 1,nombre: Laptop})-[:ESTA_RELACIONADO]->(:Producto {precio: 250.0,idProducto: 4,nombre: Monitor})"
"(:Producto {precio: 1200.0,idProducto: 1,nombre: Laptop})-[:ESTA_RELACIONADO]->(:Producto {precio: 100.0,idProducto: 12,nombre: Disco Duro Externo})"
"(:Producto {precio: 1200.0,idProducto: 1,nombre: Laptop})-[:ESTA_RELACIONADO]->(:Producto {precio: 80.0,idProducto: 13,nombre: Router WiFi})"
"(:Producto {precio: 800.0,idProducto: 2,nombre: Teléfono})-[:ESTA_RELACIONADO]->(:Producto {precio: 1200.0,idProducto: 1,nombre: Laptop})"
"(:Producto {precio: 800.0,idProducto: 2,nombre: Teléfono})-[:ESTA_RELACIONADO]->(:Producto {precio: 400.0,idProducto: 3,nombre: Tablet})"
"(:Producto {precio: 800.0,idProducto: 2,nombre: Teléfono})-[:ESTA_RELACIONADO]->(:Producto {precio: 250.0,idProducto: 4,nombre: Monitor})"
"(:Producto {precio: 800.0,idProducto: 2,nombre: Teléfono})-[:ESTA_RELACIONADO]->(:Producto {precio: 100.0,idProducto: 12,nombre: Disco Duro Externo})"
"(:Producto {precio: 800.0,idProducto: 2,nombre: Teléfono})-[:ESTA_RELACIONADO]->(:Producto {precio: 80.0,idProducto: 13,nombre: Router WiFi})"
"(:Producto {precio: 400.0,idProducto: 3,nombre: Tablet})-[:ESTA_RELACIONADO]->(:Producto {precio: 1200.0,idProducto: 1,nombre: Laptop})"
"(:Producto {precio: 400.0,idProducto: 3,nombre: Tablet})-[:ESTA_RELACIONADO]->(:Producto {precio: 800.0,idProducto: 2,nombre: Teléfono})"
"(:Producto {precio: 400.0,idProducto: 3,nombre: Tablet})-[:ESTA_RELACIONADO]->(:Producto {precio: 250.0,idProducto: 4,nombre: Monitor})"
"(:Producto {precio: 400.0,idProducto: 3,nombre: Tablet})-[:ESTA_RELACIONADO]->(:Producto {precio: 100.0,idProducto: 12,nombre: Disco Duro Externo})"
"(:Producto {precio: 400.0,idProducto: 3,nombre: Tablet})-[:ESTA_RELACIONADO]->(:Producto {precio: 80.0,idProducto: 13,nombre: Router WiFi})"
"(:Producto {precio: 250.0,idProducto: 4,nombre: Monitor})-[:ESTA_RELACIONADO]->(:Producto {precio: 1200.0,idProducto: 1,nombre: Laptop})"
"(:Producto {precio: 250.0,idProducto: 4,nombre: Monitor})-[:ESTA_RELACIONADO]->(:Producto {precio: 800.0,idProducto: 2,nombre: Teléfono})"
"(:Producto {precio: 250.0,idProducto: 4,nombre: Monitor})-[:ESTA_RELACIONADO]->(:Producto {precio: 400.0,idProducto: 3,nombre: Tablet})"
"(:Producto {precio: 250.0,idProducto: 4,nombre: Monitor})-[:ESTA_RELACIONADO]->(:Producto {precio: 100.0,idProducto: 12,nombre: Disco Duro Externo})"
"(:Producto {precio: 250.0,idProducto: 4,nombre: Monitor})-[:ESTA_RELACIONADO]->(:Producto {precio: 80.0,idProducto: 13,nombre: Router WiFi})"
"(:Producto {precio: 50.0,idProducto: 5,nombre: Teclado})-[:ESTA_RELACIONADO]->(:Producto {precio: 25.0,idProducto: 6,nombre: Ratón})"
"(:Producto {precio: 50.0,idProducto: 5,nombre: Teclado})-[:ESTA_RELACIONADO]->(:Producto {precio: 60.0,idProducto: 7,nombre: Auriculares})"
"(:Producto {precio: 50.0,idProducto: 5,nombre: Teclado})-[:ESTA_RELACIONADO]->(:Producto {precio: 75.0,idProducto: 11,nombre: Altavoz Bluetooth})"
"(:Producto {precio: 50.0,idProducto: 5,nombre: Teclado})-[:ESTA_RELACIONADO]->(:Producto {precio: 15.0,idProducto: 14,nombre: USB 64GB})"
"(:Producto {precio: 25.0,idProducto: 6,nombre: Ratón})-[:ESTA_RELACIONADO]->(:Producto {precio: 50.0,idProducto: 5,nombre: Teclado})"
